GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CourtRent,nbd.gV.reservations,ReservationManager,115,188,9,13,24,41,8,16,3,10
CourtRent,nbd.gV.reservations,Reservation,0,251,0,26,0,45,0,24,0,11
CourtRent,nbd.gV.reservations,Reservation_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.clients,Normal_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.clients,Coach_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.clients,Client,0,114,0,14,0,32,0,22,0,15
CourtRent,nbd.gV.clients,Coach,0,11,0,0,0,3,0,3,0,3
CourtRent,nbd.gV.clients,Athlete,0,7,0,0,0,3,0,3,0,3
CourtRent,nbd.gV.clients,ClientManager,21,103,0,4,7,26,1,8,1,6
CourtRent,nbd.gV.clients,Athlete_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.clients,ClientType,0,31,0,0,0,6,0,3,0,3
CourtRent,nbd.gV.clients,ClientType_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.clients,Normal,0,7,0,0,0,3,0,3,0,3
CourtRent,nbd.gV.clients,Client_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.exceptions,JakartaException,0,4,0,0,0,2,0,1,0,1
CourtRent,nbd.gV.exceptions,CourtException,0,4,0,0,0,2,0,1,0,1
CourtRent,nbd.gV.exceptions,MainException,0,4,0,0,0,2,0,1,0,1
CourtRent,nbd.gV.exceptions,ClientException,0,4,0,0,0,2,0,1,0,1
CourtRent,nbd.gV.exceptions,ReservationException,0,4,0,0,0,2,0,1,0,1
CourtRent,nbd.gV.exceptions,RepositoryException,0,4,0,0,0,2,0,1,0,1
CourtRent,nbd.gV.repositories,ReservationRepository,29,248,0,12,8,56,0,11,0,5
CourtRent,nbd.gV.repositories,CourtRepository,0,52,0,0,0,14,0,3,0,3
CourtRent,nbd.gV.repositories,Repository,7,120,0,0,2,36,0,6,0,6
CourtRent,nbd.gV.repositories,ClientRepository,3,125,1,5,1,32,1,7,0,5
CourtRent,nbd.gV.courts,Court_,3,0,0,0,1,0,1,0,1,0
CourtRent,nbd.gV.courts,CourtManager,21,103,0,4,7,26,1,8,1,6
CourtRent,nbd.gV.courts,Court,0,113,0,10,0,30,0,18,0,13
